Course Code,Course Name,L,T,P,C,Instructor,,Number of Students,Sections,Lecture,Tutorial,Lab,,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
ME 352,Mechanical Engineering Laboratory II,0,0,4,2,Jayaprakash K. R.(L),,,,,,"K2,L2,N2
(ME Lab)",,,,,
ME 361,Integrated Design and Manufacturing I,0,1,3,2,Prof. Ramakrishnan(I+T+L),,,,"G2
(7/209)",,"J1,J2
(10/101)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
6th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
MSE 302(N),Corrosion and Degradation of Materials,3,0,0,4,Sriharitha Rowthu(I),,,,"E1,E2
(7/103)",,,MSE 302_Course Plan,,,,
MSE 307,Materials Processing,3,0,0,4,Pradipta Ghosh(I),,,,"C1,C2
(7/106)",,,,,,,
MSE 352,Material Characterization Techniques,1.5,0,3,4,Superb Misra(I+L),,,,"F1
(7/110)",,"I1,K1
(MSE Lab)",,,,,
,BS Elective,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2023 MSc and MA students),0,0,0,0,,,,,,,,,,,,
PE 600,Physical Education (For 2023 M Tech and PhD students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,,
FP 501,Aarohan (For 2023 MSc and MA students),0,0,0,2,"Anupama Pradeepan, Biswajit Saha, Naveen Sisodia, Sushmit Bagchi",,,,,,,,,,,
FP 601,"Aarohan (For 2023 MTech, PGDIIT and PhD students)",0,0,0,2,"Anupama Pradeepan, Biswajit Saha, Naveen Sisodia, Sushmit Bagchi",,,,,,,,,,,
Additional Courses: Civil Engineering,,,,,,,,,,,,,,,,,
ES 404,Networks and Complex Systems,3,0,0,4,Udit Bhatia(I),,,,"K1,K2
(7/101)",,,,,,,
CE 491,Special Topics in Civil Engineering,3,1,0,4,Dhiman Basu(I+T),,,,"I1,I2
(7/101)","J1
(7/210)",,,,,,
CE 602,Analysis and Design of Foundation Systems,3,0,3,5,"Amit Prashant(I),Ajanta Sachan(L)",,,,"E1,E2
(7/110)",,"J1,L1
(CE Lab)",CE602 Course Plan,,,,
CE 605,Remote Sensing of Land and Water Resources,3,0,0,4,Vimal Mishra(I),,,,"M1,M2
(7/105)",,,,,,,
CE 615,Structural Design for Fire,3,0,0,4,Gaurav Srivastava(I),,,,"J1,J2
(7/103)",,,,,,,
ES 622,Finite Element Methods,3,0,0,4,Sushobhan Sen(I),,,,"P1,P2
(7/101)",,,ES 622 Syllabus 2023-24 Sem II.docx,,,,
CE 628,Applied Hydraulic Transients,3,0,0,4,Pranab Mohapatra(I),,,,"K1,K2
(7/210)",,,,,,,
CE 629,Geosynthetics,3,0,0,4,"Kolli Mohan(I), GV Rao(I)",,,,"M1,M2
(7/106)",,,CE 629 course plan,,,,
CE 632,Advanced Concrete Design,3,0,0,4,Dhiman Basu(I),,,,"N1,N2
(7/210)",,,2023-24_CE632_Ouline and Policy.pdf,,,,
CE 636,Traffic and Roadway Engineering,3,0,0,4,Sushobhan Sen(I),,,,"J1,J2
(7/104)",,,CE 636 2023-24 Sem II Syllabus.docx,,,,
CE 691-VII,Special Topics in Civil Engineering: Engineering Practices in Drinking Water Treatment,3,0,0,4,Sudhir K Arora(I),,,,"L1,L2
(7/210)",,,,,,,
CE 691-I,Special Topics in Civil Engineering: Design for Dynamic Loads,3,0,0,4,Manish Kumar(I),,,,"M1,M2
(7/203)",,,Course Plan,,,,
CE 691-V,Special Topics in Civil Engineering: Geotechnical Infrastructure Projects,3,0,0,4,SR Gandhi(I),,,,"I1,I2
(7/210)",,,course Plan,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemical Engineering,,,,,,,,,,,,,,,,,
CL 492-I,Special Topics in Chemical Engineering: Chemical Process Development and Scaleup,3,0,0,2,Shakeel Tirmizi(I),,,,"N1,N2
(7/207)",,,Course Plan,,,,
CL 427,Formulation Science and Engineering,3,0,0,4,Prachi Thareja(I),,,,"J1,J2
(7/202)",,,course plan CL427,,,,
CL 602,Advanced Thermodynamics,3,1,0,4,Kaustubh Rane(I+T),,,,"D1,D2
(7/204)","F1
(7/206)",,course_policy.docx,,,,
ES 604,Engineering Optimization,3,0,0,4,Hari Ganesh(I),,,,"L1,L2
(7/206)",,,https://drive.google.com/file/d/1jUGLDpeb0cpecfVpqrtsiz5F4R6SbvV-/view?usp=sharing,,,,
CL 604,Advanced Reaction Engineering,3,1,0,4,Chinmay Ghoroi(I+T),,,,"A1,A2
(7/206)","F2
(7/110)",,Course Plan CL 604,,,,
ES 658,Molecular Simulations – Theory and Applications,3,1,0,4,Mithun Radhakrishna(I+T),,,,"J1,J2
(7/109)",,,,,,,
CL 628,Liquid State Theory,3,1,0,4,Kaustubh Rane(I+T),,,,"B1,B2
(7/107)","H1
(7/209)",,course_plan.docx,,,,
CL 629,Fundamentals of Aerosol Science,3,0,0,4,Sameer Patel(I),,,,"E1,E2
(7/203)",,,Course Plan,,,,
ES 662,"Flexible Electronics: Materials, Methods and Devices",3,0,0,4,Biswajit Saha(I),,,,"P1,P2
(7/107)",,,https://drive.google.com/file/d/1GNNZAzYiPi3NVWiLUtBE2e0zrFbe0p_A/view?usp=sharing,,,,
ES 664,Scientific Computing using C++,1.5,0,3,4,Pratyush Dayal(I+L),,,,"H2
(1/102)",,"J1,L1
(1/102)",Course Plan,UG level exposure to programming,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemistry,,,,,,,,,,,,,,,,,
CH 301,"Forensic Chemistry
(First half of the semester)",3,0,0,2,Bhaskar Datta(I),,,,"P1,P2
(7/201)",,,Course Plan,,,,BS
CH 401,"Food Chemistry
(Science Basket)",3,1,0,4,Iti Gupta(I),,,,"I1,I2
(7/104)","J1
(7/201)",,Course plan,,,,BS
CH 508,Organometallic and Bioinorganic Chemistry,3,0,0,4,Iti Gupta(I),,,,"B1,B2
(7/205)",,,Course Plan,,,,BS
CH 512,Reactions and Mechanisms in Organic Chemistry,3,0,0,4,Chandrakumar Appayee(I),,,,"D1,D2
(7/206)",,,Course Plan,,,,BS
CH 524,Analytical and Computational Chemistry Laboratory,0,0,3,2,Anirban Mondal(L),,,,,,"I1,K1,H1
(CH Lab)",Courese Plan,,,,BS
CH 525,Physical Chemistry Laboratory,0,0,3,2,Biswajit Mondal(L),,,,,,"J1,L1,N1
(CH Lab)",Course plan for CH 525_Physical Chemistry Lab.pdf,,,,BS
CH 602,Chemistry of Natural Products,3,0,0,4,Sudipta Basu(I),,,,"N1,N2
(10/101)",,,https://drive.google.com/file/d/1s54LP_yV-AE8P4eA08q--nkBa7okwbvI/view?usp=drive_link,,,,BS
CH 615,Electrochemistry,3,0,0,4,Biswajit Mondal(I),,,,"E1,E2
(7/207)",,,Course plan for CH615_Electrochemistry.pdf,,,,BS
CH 627,Metabolism & Biosynthesis,3,0,0,4,Bhaskar Datta(I),,,,"N1,N2
(7/110)",,,Course Plan,,,,
CH 628,Fluorescence Spectroscopy for Chemists and Biologists,3,0,0,4,Sriram Kanvah(I),,,,"M1,M2
(7/204)",,,,,,,BS
CH 629,Medicinal Chemistry for Life,3,0,0,4,Sivapriya Kirubakaran(I),,,,"D1,D2
(7/107)",,,CH629Medicinal_Chemistry_CoursePlan,,,,BS
CH 630,Catalytic Chemistry,3,0,0,4,Sudhanshu Sharma(I),,,,"I1,I2
(7/203)",,,,,,,BS
CH 632,Solid State Chemistry and Applications,3,0,0,4,Sudhanshu Sharma(I),,,,"F1,F2
(7/208)",,,,,,,BS
CH 692,Special Topics in Chemistry: Chemical Biology in Space Science,2,0,0,2,"Kasthuri J Venkateswaran(I),
Sivapriya Kirubakaran(I)",,,,"C1,C2
(10/201)",,,,,,,BS
CH 638,Electronic Structure Theory,3,0,0,4,Anirban Mondal(I),,,,"L1,L2
(7/104)",,,Course Plan,,,,BS
,,,,,,,,,,,,,,,,,
Additional Courses: Mathematics,,,,,,,,,,,,,,,,,
MA 502,Complex Analysis,3,1,0,4,Akshaa Vatwani(I+T),,,,"E1,E2
(7/204)","H1
(7/202)",,,,,,
MA 507,Ordinary Differential Equations,3,1,0,4,Bipul Saurabh(I+T),,,,"C1,C2
(1/102)","G1
(1/102)",,Course Plan,,,,
MA 605,Commutative Algebra,3,0,0,4,Sanjay Amrutiya(I),,,,"P1,P2
(7/106)",,,Course Plan,,,,
MA 625,Stochastic Differential Equations,3,0,0,4,Chetan Pahlajani(I),,,,"I1,I2
(7/105)",,,Course Plan,,,,
MA 628,Algebra-II,3,1,0,4,Tanya Srivastava(I+T),,,,"B1,B2
(7/102)","M1
(7/202)",,Course Plan,,Classroom Code: bzacew5,,
MA 629,Introduction to Differential Geometry,3,1,0,4,Prof. Gadadhar Misra(I+T),,,,"A1,A2
(7/105)","G2
(7/102)",,Course Plan,,,,
MA 636,Introduction to Riemannian Geometry,3,0,0,4,Arnab Saha(I),,,,"N1,N2
(7/106)",,,Course Plan,,,,
MA 637,Numerical Analysis,3,1,0,4,V D Sharma(I+T),,,,"D1,D2
(7/208)","K1
(7/208)",,Course Plan,,,,
MA 639,Matrix Analysis,3,0,0,4,Projesh Nath Choudhury(I),,,,"M1,M2
(7/205)",,,Course Plan,,,,
MA 640,Integral Geometry in Imaging Sciences,3,0,0,4,Rohit Kumar Mishra(I),,,,"J1,J2
(7/205)",,,Course Plan,,,,
MA 691,Fourier Analysis on LCA Groups,3,0,0,2,Bipul Saurabh(I),,,,"L1,L2
(7/105)",,,Course Plan,,,,
,,,,,,,,,,,,,,,,,
