Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Minor in,HSS/BS elective
CS 617,Computational Complexity Theory,3,0,0,4,"Bireswar Das(I),Balagopal Komarath(I)",,14,,"I1,I2
(7/103)",,,,,,
ES 661,Probabilistic Machine Learning,3,0,0,4,Nipun Batra(I),,60,,"K1,K2
(7/209)",,,,,,
Additional courses EE,,,,,,,,,,,,,,,,
EE 644,Physics of Transistors,3,0,0,4,Nihar Mohapatra(I),,14,,"A1,A2
(7/106)",,,,,,
EE 426,Electric Vehicle Technology,3,0,0,4,Pallavi Bharadwaj(I),,40,,"N1,N2
(7/201)",,,https://docs.google.com/document/d/15st1YlKiUrl3fmdz1GgEHrBKsHee3xqn/edit?usp=share_link&ouid=107637480267446769844&rtpof=true&sd=true,,,
EE 605,Digital Image Processing,3,0,0,4,Shanmuganathan Raman(I),,40,,"M1,M2
(7/104)",,,,,,
EE 617 (N),VLSI Design,3,0,0,4,Joycee Mekie(I),,40,,"B1,B2
(7/203)",,,,,,
EE 648,Dynamic Behaviour of Electric Machines,3,0,1.5,5,Ragavan K(I+L),,7,,"D1,D2
(7/207)",,"J2
(EE Lab)",,,,
ES 414,Introduction to Photonics,3,1,0,4,Arup Chakraborty(I+T),,12,,"J1,J2
(7/204)","M1
(7/105)",,,,,
ES 616,Digital Control Systems,3,1,0,4,S Rajendran(I+T),,16,,"F1,F2
(5/202)","H2
(7/106)",,,,,
EE 629,Power Electronic Converters,3,1,0,4,S Rajendran(I+T),,40,,"L1,L2
(7/207)","J2
(7/103)",,,,,
EE 656,Digital VLSI Circuits Laboratory,0,0,3,2,Joycee Mekie(L),,40,,,,"J2,M2
(7/108)",,,,
EE 655,Heterostructure Devices,3,0,0,4,Jhuma Saha(I),,40,,"K1,K2
(7/104)",,,,,,
ES 657,Biomedical Ultrasound,3,0,0,4,Himanshu Shekhar(I),,40,,"P1,P2
(7/103)",,,,,,
ES 663,Smart Renewable Energy Systems,3,0,0,4,Pallavi Bharadwaj(I),,,,"I1,I2
(7/106)",,,https://docs.google.com/document/d/1LWO_6q3XPjxvdCoceyuHhHPVORz9ms-O/edit?usp=share_link&ouid=107637480267446769844&rtpof=true&sd=true,,,
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,3,0,0,4,Anand Kumar(I),,,,"M1,M2
(7/209)",,,,,,
Additional courses ME,,,,,,,,,,,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,4,Uddipta Ghosh(I),,15,,"C1,C2
(7/105)","G1
(7/104)",,,,,
ES 613,Modern Control Theory,3,0,0,4,Madhu Vadali(I),,40,,"D1,D2
(7/110)",,,,,,
ME 605,Computational Fluid Dynamics,3,1.5,0,4,Dilip Sundaram(I),,12,,"P1,P2
(7/104)","H1
(7/207)",,,,,
ME 639,Introduction to Robotics,3,0,0,4,Harish P. M.(I),,22,,"C1,C2
(7/106)",,,,,,
ME 691-I,Special Topics in Mechanical Engineering: Mechanical Vibration analysis,3,0,0,4,Anuj Kumar Tiwari(I),,22,,"K1,K2
(7/207)",,,,,,
"ME 691-II
",Special Topics in Mechanical Engineering: Dynamics and Control through household objects,3,0,0,4,Vineet Vashista(I),,22,,"""F1,F2
(7/207)""",,,,,,
ME 691-XI,Special Topics in Mechanical Engineering: Advanced Robotics,3,0,0,4,Vineet Vashista(I),,22,,"M1,M2
(7/201)",,,,,,
Additional courses MSE,,,,,,,,,,,,,,,,
MSE 355,Surface Engineering,3,0,0,4,Sriharitha Rowthu(I),,7,,"D1,D2
(7/210)",,,,,,
MSE 403,Science and Technology of Welding and Joining,3,0,0,4,Amit Arora(I),,5,,"M1,M2
(7/107)",,,,,,
MSE 622,Advance Metal Forming Technology,3,0,0,4,Jyoti Mukhopadhyay(I),,7,,"D1,D2
(7/106)",,,,,,
MSE 629,Structure and Defects of Materials,3,0,0,4,Abhijit Mishra(I),,25,,"C1,C2
(7/206)",,,,,,
MSE 631,Thermodynamics of Materials,3,0,0,4,Abhay Gautam(I),,11,,"F1,F2
(7/102)",,,,,,
MSE 632,Characterization of Materials,3,0,3,4,Emila Panda(I),,17,,"A1,A2
(7/206)",,"J1,L1
(MSE Lab)",,,,
MSE 633,Transmission Electron Microscopy,3,0,3,5,Abhay Gautam(I),,1,,"I1,I2
(7/104)",,"K2,L2
(MSE Lab)",,,,
Additional courses CH,,,,,,,,,,,,,,,,
CH 302,Electrochemical Science and Engineering,3,1,0,4,Sudhanshu Sharma(I+T),,,,"N1,N2
(7/204)","J2
(7/104)",,,,,
CH 401,Food Chemistry,3,1,0,4,Iti Gupta(I+T),,,,"M1,M2
(7/106)","J1
(7/205)",,,,,
CH 506,Physical Organic Chemistry,3,0,0,4,Sriram Kanvah(I),,39,,"J1,J2
(7/206)",,,,,,
CH 510,Main Group and Transition Metal Chemistry,3,0,0,4,Biswajit Mondal(I),,28,,"A1,A2
(7/203)",,,,,,
CH 511,Quantum Chemistry,3,0,0,4,Sairam Mallajosyula(I),,27,,"F1,F2
(7/203)",,,,,,
CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran(I),,31,,"D1,D2
(7/102)",,,,,,
CH 522,Inorganic Chemistry Laboratory,0,0,3,2,Iti Gupta(L),,25,,,,"I1,K1
(CH Lab)",,,,
CH 523,Organic Chemistry Laboratory,0,0,3,2,Chandrakumar Appayee(L),,25,,,,"J1,L1
(CH Lab)",,,,
CH 616,Applied Chemical Biology,3,0,0,4,Sudipta Basu(I),,5,,"P1,P2
(7/102)",,,,,,
CH 622,Interpretative Organic Spectroscopy,3,0,0,4,Bhaskar Datta(I),,36,,"B1,B2
(7/207)",,,,,,
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,4,Chandrakumar Appayee(I),,4,,"F1,F2
(7/207)",,,,,,
CH 635,Chemical Crystallography,2,0,1,4,Vijay Thiruvenkatam(I+L),,,,"M1,M2
(7/203)",,,,,,
CH 636,Statistical Thermodynamics and its Applications in Chemistry,3,0,0,4,Anirban Mondal(I),,40,,"L1,L2
(7/107)",,,,,,
Additional courses MA,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1,0,4,Indranath Sengupta(I+T),,35,,"B1,B2
(7/110)","H1
(7/203)",,,,,
MA 504,Introduction to Linear Algebra,3,1,0,4,Arnab Saha(I+T),,56,,"A1,A2
(7/208)","G2
(7/209)",,,,,
MA 509,Topics in Real Analysis,3,1,0,4,Chetan Pahlajani(I+T),,35,,"D1,D2
(7/104)","M2
(7/101)",,,,,
MA 510,Topology,3,1,0,4,Bipul Saurabh(I+T),,36,,"C1,C2
(7/204)","G1
(7/105)",,,,,
MA 601,"Applied Linear Algebra, Probability and Statistics",3,1.5,0,4,Mohan Joshi(I+T),,25,,"K1,K2
(7/105)","J1
(7/207)",,https://drive.google.com/file/d/12qQMD1y_7TdYeDuvp6wWVnCBjjS80iMa/view?usp=share_link,,,
